D,AGE,CH4
1261.28,59381.3,492
1261.33,59390.6,484.263
1261.5,59419.6,483.144
1261.67,59448.6,491.367
1261.83,59477.7,520.308
1261.97,59502.3,480.7
1262.33,59551.5,553.948
1262.67,59596.2,561.57
1263.02,59643.7,552
1263.05,59649,536.7
1263.08,59654.2,556
1263.17,59670.4,537.49
1263.33,59699.8,503.228
1263.5,59729.2,478.373
1263.58,59742.4,440.3
1263.67,59758.6,469.335
1263.83,59788,467.07
1264.17,59845.6,457.78
1264.33,59873.9,441.364
1264.5,59902.2,425.859
1264.67,59930.5,415.254
1264.83,59958.8,413.266
1265.62,60103.8,442.3
1265.64,60109.5,451
1265.97,60172.1,434.4
1266.17,60203.4,425.269
1266.33,60229.8,442.788
1266.5,60256.3,449.136
1266.67,60282.8,445.468
1266.83,60309.3,443.993
1267.17,60367.3,449.624
1267.33,60398.9,456.279
1267.5,60430.5,455.229
1267.58,60444.7,454.2
1267.67,60462.1,452.355
1267.83,60493.7,461.518
1268.17,60556,478.091
1268.5,60617.6,484.761
1268.67,60648.4,482.972
1269.17,60740.8,484.392
1269.33,60771.7,486.145
1269.5,60802.5,481.236
1269.67,60833.4,465.099
1269.97,60890.5,469
1271.17,61127.3,440.962
1271.33,61162.2,425.346
1271.5,61197.2,422.639
1271.67,61232.1,420.705
1271.83,61267,414.576
1272.2,61344.6,409.142
1272.4,61387.3,408.811
1272.6,61430.1,412.848
1272.8,61472.8,419.535
1273.2,61557.6,427.377
1273.4,61599.7,432.971
1273.6,61641.8,436.218
1273.62,61645,438.7
1273.8,61683.9,446.411
1273.97,61720.8,443.9
1275.02,61934.9,454.7
1275.05,61940.9,448
1275.08,61946.8,451
1275.11,61952.8,452.3
1275.4,62011.2,435.004
1275.58,62045.9,448.3
1281.58,63482.1,445.8
1285.97,64763.9,487.3
1287.02,65022.6,447.7
1287.05,65031.1,441
1287.12,65053.7,491.164
1287.25,65089,472.253
1287.38,65124.4,456.969
1287.5,65159.7,437.293
1287.58,65180.9,435.9
1287.75,65230.4,424.184
1287.88,65265.7,425.353
1288,65301.1,427.13
1288.25,65387.9,420.408
1288.88,65605.1,415.221
1289,65648.5,417.04
1289.12,65687.7,422.149
1289.25,65726.9,427.399
1289.38,65766.2,433.646
1289.5,65805.4,441.993
1289.62,65841.5,460.3
1289.62,65844.6,448.649
1289.64,65850.9,461
1289.75,65883.8,451.006
1289.93,65941.9,465
1289.97,65954.4,470.5
1290,65962.3,455.534
1290.12,66002.8,469.669
1290.25,66043.3,483.171
1290.38,66083.8,478.361
1290.5,66124.3,464.077
1290.62,66164.8,460.696
1290.75,66205.4,463.716
1290.88,66245.9,463.772
1291,66286.4,464.845
1291.25,66366.4,466.681
1291.58,66470.4,443.2
1292.5,66790.7,464.961
1292.62,66836.7,458.813
1292.75,66882.8,451.055
1292.88,66928.9,446.297
1293.14,67032.3,443.471
1293.29,67089.7,444.941
1293.43,67147,457.974
1293.57,67204.3,472.427
1293.71,67261.7,470.41
1293.86,67319,459.42
1293.97,67366.3,461.9
1294,67376.4,461.779
1294.12,67421.7,475.421
1294.25,67467.1,482.099
1294.38,67512.5,475.794
1294.5,67557.9,461.916
1294.62,67603.3,456.817
1294.75,67648.6,469.09
1294.88,67694,479.036
1295,67739.4,472.062
1295.12,67788.4,463.424
1295.25,67837.3,468.437
1295.38,67886.3,481.941
1295.62,67984.3,492.191
1295.75,68033.2,490.751
1295.88,68082.2,478.338
1296,68131.2,469.296
1296.14,68190.4,470.929
1296.29,68249.7,470.56
1296.43,68309,457.055
1296.57,68368.2,440.139
1297,68546,436.219
1297.12,68600.9,441.279
1297.25,68655.7,443.447
1297.38,68710.6,444.937
1297.41,68724.1,450.983
1297.62,68815.9,474
1297.62,68820.3,460.814
1297.75,68875.1,468.399
1297.88,68930,469.966
1297.97,68973.8,463
1298,68984.8,472.053
1298.14,69049.2,470.963
1298.29,69113.5,461.124
1298.43,69177.9,457.21
1298.57,69242.3,461.38
1298.71,69306.6,456.251
1298.86,69371,448.412
1299,69435.4,456.821
1299.02,69442.1,459.7
1299.05,69455.5,460
1299.14,69499.3,468.558
1299.29,69563.3,459.796
1299.43,69627.2,440.707
1299.57,69691.2,438.533
1299.58,69692.8,462.2
1299.86,69819,456.715
1300,69883,477.076
1300.12,69938.4,488.386
1300.38,70049.3,487.986
1300.5,70104.8,472.727
1300.62,70160.2,449.696
1300.75,70215.7,433.016
1300.88,70271.1,431.605
1301,70326.6,442.41
1301.14,70392.7,450.203
1301.43,70525.1,445.703
1301.57,70591.3,433.449
1301.86,70722.7,450
1301.86,70723.7,422.738
1301.97,70778.3,452.6
1302.5,71024.8,420.329
1302.75,71142.3,426.846
1302.88,71201.1,437.182
1303,71259.8,443.582
1303.12,71312.7,445.083
1303.25,71365.6,449.122
1303.38,71418.5,458.256
1303.5,71471.4,462.94
1303.62,71524.3,455.138
1303.75,71577.2,446.828
1303.86,71621.6,487.3
1303.88,71630.1,453.4
1303.97,71672.4,475
1304,71682.9,468.421
1305.12,72140.5,476.821
1305.25,72187.9,477.476
1305.38,72235.2,480.249
1305.5,72282.6,488.337
1305.62,72330,496.289
1305.75,72377.4,496.127
1305.88,72424.8,477.995
1305.98,72466.5,486
1306.25,72571.9,445.524
1306.5,72671.7,420.788
1306.62,72721.5,415.202
1306.75,72771.4,421.407
1306.88,72821.3,434.496
1307.38,73039.2,451.894
1307.5,73095.2,464.208
1307.62,73151.2,462.52
1307.75,73207.3,452.715
1307.98,73312.6,436
1308,73319.3,451.359
1309.25,73855.3,458.175
1309.38,73913.8,460.058
1309.5,73972.2,458.397
1309.62,74030.6,458.46
1309.75,74089,455.867
1309.86,74138.1,455.7
1309.88,74147.5,449.605
1309.97,74194.2,446
1310,74205.9,441.912
1311.12,74722.8,431.469
1311.62,74929.2,422.425
1311.75,74980.9,422.695
1311.86,75024.2,473.3
1311.88,75032.5,429.823
1311.97,75073.7,452.1
1312,75084.1,436.518
1312.12,75130.1,444.938
1312.38,75222,456.681
1312.5,75268,462.034
1312.62,75314,457.039
1312.75,75360,452.22
1312.88,75405.9,456.121
1313,75451.9,464.34
1313.12,75495.1,468.475
1313.5,75624.5,468.807
1313.75,75710.8,470.127
1313.88,75753.9,471.889
1313.98,75791.9,501
1314,75797,474.779
1314.29,75897.8,482.306
1314.43,75948.2,482.245
1314.57,75998.6,459.425
1314.71,76049,430.215
1314.86,76099.3,419.783
1315,76149.7,423.958
1315.14,76202.5,427.475
1315.29,76255.2,426.434
1315.43,76308,423.363
1315.57,76360.7,423.443
1315.71,76413.5,425.065
1315.86,76466.2,424.526
1315.98,76513.4,427
1316,76519,429.842
1316.14,76580.4,439.521
1316.29,76641.8,442.959
1316.43,76703.2,445.382
1316.57,76764.5,447.147
1316.86,76887.3,437.872
1317.29,77076.4,424.592
1317.43,77140.2,420.873
1317.57,77204.1,428.488
1317.71,77267.9,437.941
1317.86,77330.8,449.7
1317.97,77384.4,424.6
1318,77395.6,438.414
1318.14,77459.9,438.082
1318.29,77524.2,445.061
1318.43,77588.6,453.631
1318.57,77652.9,463.636
1318.71,77717.2,467.524
1318.86,77781.5,458.282
1319,77845.8,452.473
1319.29,77962.3,456.539
1319.57,78078.8,454.23
1319.85,78192.3,565.9
1319.86,78195.2,445.417
1320,78253.5,443.712
1320.43,78437.1,445.575
1320.57,78498.3,442.585
1320.71,78559.5,438.06
1320.86,78620.7,440.282
1321,78681.9,457.024
1321.14,78745.6,482.681
1321.29,78809.4,495.989
1321.43,78873.1,488.052
1321.57,78936.9,477.298
1321.71,79000.6,479.478
1321.86,79064.4,486.053
1321.98,79121.4,498
1322,79128.1,488.772
1322.29,79257,491.448
1322.57,79386,496.128
1322.71,79450.4,503.661
1322.86,79514.9,513.773
1323,79579.4,521.282
1323.14,79641.4,522.02
1323.43,79765.5,517.823
1323.71,79889.6,516.572
1323.86,79951.7,521.868
1323.98,80007.2,524
1324,80013.7,525.343
1325.43,80645.4,522.199
1325.57,80707.4,521.346
1325.71,80769.3,527.893
1325.86,80830.4,548
1325.86,80831.3,537.34
1325.97,80882.4,545.5
1326,80893.3,547.212
1326.14,80954.7,553.478
1326.29,81016.2,553.383
1326.43,81077.7,549.77
1326.71,81200.7,543.677
1327,81323.6,539.309
1327.14,81383.8,539.349
1327.29,81444.1,538.782
1327.43,81504.3,536.06
1327.57,81564.5,534.287
1327.71,81624.7,537.7
1327.86,81684.9,546.778
1328.14,81808,554.714
1328.29,81870.8,556.756
1328.43,81933.7,556.686
1328.57,81996.5,562.723
1328.71,82059.4,574.549
1328.86,82122.2,583.658
1328.97,82174.1,582.3
1329,82185.1,589.846
1329.14,82247.1,594.802
1329.29,82309.2,596.102
1329.43,82371.2,598.18
1329.57,82433.3,602.166
1329.71,82495.3,601.08
1329.86,82557.4,596.24
1329.98,82612.9,629
1330,82619.5,591.134
1330.14,82684,580.217
1330.43,82812.9,565.664
1330.57,82877.4,563.551
1331,83070.9,577.274
1331.14,83135.5,588.701
1331.29,83200.1,589.925
1331.43,83264.6,593.102
1331.71,83393.7,601.11
1331.86,83458.3,607.476
1331.98,83516.1,637
1332,83522.8,616.116
1332.12,83575.5,628.251
1332.25,83628.2,638.231
1332.38,83680.9,646.09
1332.75,83838.9,647.69
